id;species
201;Acer_Capillipes
227;Acer_Capillipes
498;Acer_Capillipes
569;Acer_Capillipes
610;Acer_Capillipes
18;Betula_Austrosinensis
175;Betula_Austrosinensis
286;Betula_Austrosinensis
341;Betula_Austrosinensis
443;Betula_Austrosinensis
425;Castanea_Sativa
592;Castanea_Sativa
769;Castanea_Sativa
926;Castanea_Sativa
1087;Castanea_Sativa
56;Eucalyptus_Glaucescens
289;Eucalyptus_Glaucescens
678;Eucalyptus_Glaucescens
689;Eucalyptus_Glaucescens
720;Eucalyptus_Glaucescens
25;Fagus_Sylvatica
45;Fagus_Sylvatica
258;Fagus_Sylvatica
335;Fagus_Sylvatica
437;Fagus_Sylvatica
116;Ginkgo_Biloba
178;Ginkgo_Biloba
413;Ginkgo_Biloba
462;Ginkgo_Biloba
532;Ginkgo_Biloba
155;Ilex_Aquifolium
248;Ilex_Aquifolium
600;Ilex_Aquifolium
910;Ilex_Aquifolium
963;Ilex_Aquifolium
124;Liquidambar_Styraciflua
219;Liquidambar_Styraciflua
358;Liquidambar_Styraciflua
396;Liquidambar_Styraciflua
568;Liquidambar_Styraciflua
214;Magnolia_Heptapeta
328;Magnolia_Heptapeta
363;Magnolia_Heptapeta
809;Magnolia_Heptapeta
854;Magnolia_Heptapeta
342;Olea_Europaea
449;Olea_Europaea
502;Olea_Europaea
633;Olea_Europaea
732;Olea_Europaea
30;Populus_Adenopoda
294;Populus_Adenopoda
367;Populus_Adenopoda
455;Populus_Adenopoda
559;Populus_Adenopoda
21;Quercus_Afares
134;Quercus_Afares
260;Quercus_Afares
595;Quercus_Afares
759;Quercus_Afares
54;Rhododendron_x_Russellianum
103;Rhododendron_x_Russellianum
700;Rhododendron_x_Russellianum
710;Rhododendron_x_Russellianum
778;Rhododendron_x_Russellianum
15;Salix_Fragilis
620;Salix_Fragilis
704;Salix_Fragilis
847;Salix_Fragilis
976;Salix_Fragilis
107;Tilia_Oliveri
386;Tilia_Oliveri
409;Tilia_Oliveri
418;Tilia_Oliveri
685;Tilia_Oliveri
436;Ulmus_Bergmanniana
636;Ulmus_Bergmanniana
756;Ulmus_Bergmanniana
793;Ulmus_Bergmanniana
855;Ulmus_Bergmanniana
152;Viburnum_x_Rhytidophylloides
556;Viburnum_x_Rhytidophylloides
661;Viburnum_x_Rhytidophylloides
1226;Viburnum_x_Rhytidophylloides
1300;Viburnum_x_Rhytidophylloides
17;Zelkova_Serrata
336;Zelkova_Serrata
535;Zelkova_Serrata
718;Zelkova_Serrata
993;Zelkova_Serrata
